,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id
0,14001,False,/mYaCY5plx1ohKRpxFZGkEIZ7ruK.jpg,"[10749, 18]",453258,en,A Night Without Armor,"A man who gave up on love. A woman trying to find love. Two strangers, one night.",1.225,/uQQ07GKrmPy1WdZ6pSdG60NCrn2.jpg,21-04-17,A Night Without Armor,False,5.5,2,0,0,United States of America,Romance,tt3912442
1,14002,False,/ql0keIUgAxByS1m0HlD3IxtdbmV.jpg,"[16, 14, 10402]",476448,it,Simposio Suino in Re Minore,,1.225,/sSa9TcdlOS8MEdKTSwVMevBlb9A.jpg,14-09-17,Simposio Suino in Re Minore,False,7.5,3,0,0,Italy,Animation,tt7159242
2,14003,False,/l7VpiPW6lEeBZxI4aMfYFFp3VIE.jpg,"[28, 80, 18, 53, 10749]",450824,it,MMA Love Never Dies,,1.225,/2FhPoMiy71Ss20KOGJbLT7MVmKF.jpg,06-04-17,MMA Love Never Dies,False,3.0,1,0,0,Italy,Drama,tt5954042
3,14004,False,/7pHZSn1NN8kNq973zBbDJWM1yHW.jpg,"[18, 53]",505942,da,Lifeboat,"Iben and Thomas, a couple from Scandinavia, are on vacation on a sail boat in the Greek archipelago. Suddenly, one night, Iben hear a cry for help from the water.",1.225,/mSS819MVd6GuYEYlF6zAQNQlctj.jpg,01-10-18,Lifeboat,False,6.0,1,0,0,Denmark,Drama,tt8346454
4,14005,False,/49g6i6u5HKSz1K1pkoiM1JmWajW.jpg,[99],564549,en,Closing Gambit: 1978 Korchnoi versus Karpov and the Kremlin,"The story of the 1978 World Chess Championship between the Soviet Communist Party's protege, Anatoly Karpov and the traitor and Soviet defector, Viktor Korchnoi. One of those instances in life where truth is stranger than fiction.",1.225,/x0ZnODbZHMWvgfghexS0SNi48Az.jpg,26-10-18,Closing Gambit: 1978 Korchnoi versus Karpov and the Kremlin,False,9.5,2,0,0,United Kingdom,Documentary,tt7494416
5,14006,False,/7R7LFVsEUkAtRlAZsteXohdswrY.jpg,[],568242,en,Skateboard or Die,"Mike is thrust into a world of murder and assassination after running into his best friend Ed, presumed killed in action 10 years ago. In order to keep themselves alive, Mike and Ed must now work together as members of - The Hunters Club.",1.225,/veGzqo3lE4VAh1nuJFeKwynWfR0.jpg,01-06-18,Skateboard or Die,False,5.5,2,0,0,Australia,Not Listed,tt2278050
6,14007,False,/8t3BDKBaqsYB1AEj9f7pVXLo4bY.jpg,[18],508729,en,Broken Ceiling,"When Angela Walker is passed over for yet another promotion, she decides she's going to have to break through the invisible corporate barriers once and for all.",1.225,/jp3A4kyWfnfvQsQzeLakVYJeMTE.jpg,23-02-18,Broken Ceiling,False,5.5,2,0,0,United States of America,Drama,tt5221360
7,14008,False,,"[18, 53]",568966,es,Niebla de Culpa,"Iliteracy today seems to be a small problem globally, but it is hell for the individual illiterate that struggles alone in a hyper communicative era.",1.225,/6s6DJF9sdlbdJ579c4wngxkKRKf.jpg,01-07-18,Mist of Guilt,False,5.0,2,0,0,Mexico,Drama,tt5932250
8,14009,False,,[18],626434,it,Happy Birthday,There's something wrong with Sara's birthday.,1.225,/qg7pfbocDoUSer5s9oPqLYMVtQm.jpg,03-09-19,Happy Birthday,False,6.9,8,0,0,Not Listed,Drama,tt10924636
9,14010,False,/9lHXTXwNVfKsiNzqGuAI2KtKMAK.jpg,"[53, 18, 80, 9648]",482718,fr,Noir Enigma,,1.224,/1ct7IxpAUs2uM7EvYq7AN2yShzP.jpg,20-10-17,Noir Enigma,False,6.2,6,0,0,France,Thriller,tt6363668
10,14011,False,/v7BFXoBRMsROALafXEUzJpm4VkZ.jpg,[35],467431,en,Get Big,"Inspired by somewhat true events, ""Get Big"" follows the misadventures of two friends as they reconnect to attend a high school classmate's wedding. Alec is the charming troublemaker, while Nate provides the neurotic and awkward foil to his friend's unpredictable antics. ""Get Big"" takes place over the course of a crazy 24-hour period during which Alec and Nate cross paths with oddball cops, curmudgeonly neighbors, drug dealers, psychopaths, escorts and pretty girls, all while the clock ticks down their classmate's big moment.",1.224,/oIJVTeuJtbXTSQjvPV3m19q85Fk.jpg,01-09-17,Get Big,False,6.3,9,0,0,Not Listed,Comedy,tt5673432
11,14012,False,/d7HmspqoB3WhBF9zEdoweF6uGY2.jpg,"[35, 27]",450103,en,Black Holler,"In 1989 it's Laquita Johnson's first day at a new school. She's sent on a camping trip to the spooky woods of Black Holler. Her classmates are clueless. Her chaperone is ridiculous, and bodies are piling up. Find out who survives.",1.224,/cDNmU9MoROk9o7ULLftFHN4SB1u.jpg,24-04-17,Black Holler,False,8.5,2,15000,0,United States of America,Comedy,tt4851270
12,14013,False,,[16],455340,en,Down On The Farm,"When a bale of hay goes missing on the farm, mystery-solving Oink The Flying Pig and his know-it-all pal, Boink the Owl, set off on an adventure to discover which of the farm animals is the culprit.",1.224,/uKYV20Dn8aA9rZDDKjBwgcIOBiO.jpg,14-02-17,Down On The Farm,False,9.7,3,0,0,Not Listed,Animation,tt6407390
13,14014,False,,[],568075,en,"Friends, Foes & Fireworks","Fiona has recently received a life-changing health diagnosis, so in an attempt to curb feelings of isolation and anxiety she hosts a NYE reunion with her closest female friends. However, not everything goes to plan. Old tensions surface, past rivalries are reignited, truths are told and sparks fly, forcing each of the women to reflect on and re-evaluate past decisions going forward into the new year.",1.223,/kcP92VdC2vJa3GgMEL5tNlJkwHu.jpg,08-08-17,"Friends, Foes & Fireworks",False,1.0,2,0,0,United States of America,Not Listed,tt6402536
14,14015,False,,[99],476522,de,Schumanns Bargespräche,"Charles Schumann is a bartender par excellence—known the world over for his iconic Munich-based Schumann's Bar— and best-selling author of a cocktail guide the New York Times called ""the drink-mixer's bible."" Here Schumann is your tour guide through some of the finest bars the world has to offer, traveling from New York to Tokyo with numerous stops in between to explore the fascinating history and rich culture behind these monuments to social imbibing, a pursuit all Milwaukeeans agree is in need of extensive documentary study.",1.223,/AgbKaHoJQnmICIGnhs60mr3VCh3.jpg,12-10-17,Schumann's Bar Talks,False,4.0,2,0,0,Germany,Documentary,tt6573942
