,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/kjSG5YwD4JsqQwHAKzRPsSKWAJ4.jpg,"[16, 35, 10751]",269509,en,The Canterville Ghost,"An American family moves in to the Canterville Chase, a London mansion that has been haunted by ghost Sir Simon De Canterville for 300 years.",4.876,/i3NlVSUuV6zUHT0HmNDoewAzyQe.jpg,2022-10-07,The Canterville Ghost,False,2.0,1
1,False,,"[10749, 18]",269579,es,Un cuento de circo & a love song,A boy who grew up at the circus decides to leave his old life and go after the love of his life.,2.152,/xXhbxTbNenb4G91b3mvTVMfeq4O.jpg,2022-12-31,A circus tale & a love song,False,0.0,0
2,False,/cL0cdccOMzM508ODsWPfHVMMAzo.jpg,[28],267805,en,There Are No Saints,"A man is imprisoned for a crime he didn't commit. When his wife is murdered and his son kidnapped and taken to Mexico, he devises an elaborate and dangerous plan to rescue his son and avenge the murder.",8.322,/fcOTYArjKuAgufwHoTvx8w9UKCv.jpg,2022-05-27,There Are No Saints,False,5.2,24
3,False,/198vrF8k7mfQ4FjDJsBmdQcaiyq.jpg,"[878, 28, 12]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",664.605,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,False,0.0,0
4,False,/nUaPnsDwdhtWEYKuMTJBZzzijiZ.jpg,"[28, 12]",335787,en,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",155.602,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,2022-02-10,Uncharted,False,7.1,3967
5,False,/sobIeWp1a3saZTBkoRTAf8sfC7J.jpg,"[12, 10751, 10770]",335795,en,Monster High: The Movie,"Clawdeen Wolf, half human and half werewolf, has recently started attending Monster High, a school for monsters in all forms. After quickly befriending her classmates Frankie Stein and Draculaura, Clawdeen feels like she has finally found a place where she can truly be herself, or so she thinks. Soon, a devious plan to destroy Monster High threatens to reveal her real identity and Clawdeen must learn to embrace her true monster heart before it's too late.",156.751,/tn3GWm0Erehkpur8PUuYWxGpul5.jpg,2022-10-06,Monster High: The Movie,False,7.2,131
6,False,,"[18, 35]",343249,en,East Bay,"An odd and intense middle aged Korean American man flirts with the idea of suicide because he believes he's failed his immigrant parents. He's disturbed by his increasingly vivid hallucinations of what his life could have been. So he pursues spirituality to calm himself, and in the process encounters others who are struggling in their own ways.",0.6,/tVcgLBIZ4ddZjJoCppxL744C7an.jpg,2022-10-01,East Bay,False,0.0,0
7,False,,[99],308299,en,Black Sabbath: Master of Reality Documentary,The documentary follows Black Sabbath as they release their iconic album Paranoid through the recording and releasing of their album Master of Reality. Sharing many known and unknown facts about the band's lives in 1971 and 1972.,0.6,/elCPmmjrEvwHEqCETxphPluC3nU.jpg,2022-05-04,Black Sabbath: Master of Reality Documentary,False,0.0,0
8,False,,[10749],308059,hi,Love You Hamesha,Trouble follows when a young woman (Sonali Bendre) breaks her engagement to a jealous man (Amitabh Nanda) to marry someone else (Akshaye Khanna).,0.718,,2022-07-07,Love You Hamesha,False,0.0,0
9,False,,[],311271,en,America's Most Haunted Town,"New Hope, Pennsylvania, just may be the most haunted city in America. Residents report unexplainable goings-on left and right, from strange incidents to frightful sightings that have left a searing impression on their psyche. Is the place truly a hotbed of paranormal activity? Join this documentary's spiritual investigators and see for yourself the ghosts and spirits who've made New Hope their home.",0.6,,2022-03-05,America's Most Haunted Town,False,0.0,0
10,False,/o3U4733mGsmieBeqs4Sw2ze6n53.jpg,"[14, 18, 10749, 36]",245842,en,The King's Daughter,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",22.092,/zwRf07ECh7nV7xlahKzN5wFYhGx.jpg,2022-01-21,The King's Daughter,False,7.3,584
11,False,,"[99, 36]",224291,en,We Will See Tomorrow,"Preserving American Jazz and the efforts of Dr. Albert Vollmer for his life's work in honoring Jazz's Senior Citizenry through the founding of the Harlem Blues and Jazz Band. Founded in 1973 by trombonist Clyde Bernhardt and jazz aficionado Albert Vollmer, the Harlem Blues &amp; Jazz Band became the world's most authentic swing band. It stars veteran jazz and blues musicians (64 to 96 years old) whose roots reach back to the classic period of the 20's and 30's. These 'originals' actually did 'jump' at the Woodside and 'stomp' at the Savoy, with Duke Ellington, Cab Calloway, Count Basie, Lionel Hampton",0.654,,2022-01-01,We Will See Tomorrow,False,0.0,0
12,False,/sXnvnDIfOia6dnMR3ZuqBSGNdpd.jpg,"[53, 28, 27]",298028,en,The Prey,A platoon of U.S. soldiers in Afghanistan become trapped in a cave and are hunted down by a deadly creature the locals call Karnoctus.,4.86,/b4WRdvY6a7bcAjsS4joNPjq2DPm.jpg,2022-06-07,The Prey: Legend of Karnoctus,False,5.8,5
